공고,회사명,지역,링크
믹스아시아 레스토랑 서빙 여사님  아르바이트 구급,믹스아시아,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=809220&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=809079&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
카사벨라 레스토랑 정직원  구합니다,카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808934&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
카사벨라 레스토랑 주말 알바 구합니다,카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808932&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
카사벨라 레스토랑 주방직원 구합니다,카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808930&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
카사벨라 레스토랑 주방직원 구합니다,카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808735&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808731&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808375&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=808163&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
"모산 오마카세 레스토랑 홀서빙 , 주방이모 급구",모산,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=807990&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=807821&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=807628&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=807403&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요 (시급 10,000",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=807249&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=807152&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806929&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806699&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
하이든 파크 레스토랑 청소 이모 아르바이트 구급,하이든파크,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806580&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806434&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
하이든 파크 레스토랑 청소 이모 아르바이트 구급,하이든파크,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806425&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
이태리 레스토랑 청소 이모 급구,하이든파크,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806327&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
하이든 파크 레스토랑  청소 주말  아르바이트 구급,하이든파크,신문장유,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=806043&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=805863&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=805579&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요 시급 9700원",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=804929&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=804638&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=804388&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요 시급 9700원",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=804195&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=804162&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 홀 직원을 모집합니다.,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803998&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 주방 직원을 모집합니다.,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803994&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 설거지 이모님을 모집합니,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803863&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803828&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803622&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
카사벨라 레스토랑 주방 직원 구합니다,카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803620&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요 시급 9700원",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803599&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 주방 직원을 모집합니다.,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803537&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 설거지 이모님을 모집합니,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803535&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 설거지 이모님을 모집합니,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803341&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
레스토랑 세인즈가든에서 주방 직원을 모집합니다.,세인즈가든,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803339&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803326&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
"카사벨라 레스토랑 알바 구해요 시급 9,700원",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=803124&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=2&campus_kind=
